Recording_time_ID,lhx,lhy,lhz,rhx,rhy,rhz,hx,hy,hz,sx,sy,sz,lwx,lwy,lwz,rwx,rwy,rwz,vlhx,vlhy,vlhz,vrhx,vrhy,vrhz,vlwx,vlwy,vlwz,vrwx,vrwy,vrwz,alhx,alhy,alhz,arhx,arhy,arhz,alwx,alwy,alwz,arwx,arwy,arwz,Action
AR5797,1.920042,3.978703,2.211195,2.968426,0.8340770000000001,2.202471,2.25943,0.8453431999999999,2.406115,2.445755,3.3042910000000005,2.436603,1.669202,3.852,2.254872,3.15079,0.9465897,2.217421,0.00010541,-0.0001746,4.188e-05,9.387e-05,0.00050885,3.934e-05,2.655e-05,-0.00015045,9.422e-05,0.00023503,-0.00015432,1.228e-05,-1.451e-05,-1.104e-05,6.2e-07,1.081e-05,-3.771e-05,9.45e-06,-9.3e-06,1.85e-06,6.77e-06,6.3e-06,-1.67e-05,4.95e-06,Response-3
AR1936,5.026071,4.238918,1.941478,6.304251,4.498418,1.842593,4.89342,1.859839,2.126839,4.859129,4.265069,2.137796,4.669978,4.094677,1.957837,6.056923,4.48895,1.90786,6.59e-06,-0.00627027,-0.0010257,-0.00228439,-0.00415903,0.00019108,0.00591833,-0.00169043,-0.00079264,-0.00280031,0.000767,0.00102101,-0.00014671,0.00121301,0.00023654,-0.00014264,0.00335963,0.00074842,0.00209537,0.00100545,0.00012716,-0.00625868,0.00333435,0.00089902,Response-4
AR3761,2.199439,4.9805980000000005,2.003031,2.549979,4.901636,2.00959,2.720113,1.314647,2.221931,2.66361,4.068994,2.25045,1.931739,4.860551999999998,2.051425,2.784112,4.6646790000000005,2.037293,0.00075531,-0.0008982999999999999,-0.00037371,0.00734605,-0.00168672,-0.00035191,0.00155132,-0.00168906,-0.00044577,0.00250502,-0.00045225,-0.00021584,0.00030505,-0.00020912,-2.815e-05,0.0003353,-0.00018187,-7.426e-05,0.00029405,-0.00020395,-4.416e-05,-0.00020998,5.043e-05,-2.683e-05,Response-1
AR3518,4.780814,4.560586,1.483252,4.966421,4.54611,1.496978,4.976627,1.6564720000000002,1.769066,5.035172,4.306737,1.740307,4.857933999999998,4.450177,1.523155,5.388107,4.496716,1.512283,0.00944051,0.0049759999999999995,-0.0007667999999999999,0.02484106,-0.02473703,-0.00176339,-0.00337324,0.00403718,0.00010903,0.01693058,-0.02426246,-0.00297473,0.00305363,0.0017084,-0.00038326,0.00358476,-0.00250231,-0.00041835,-0.00098794,0.00143993,-8.126e-05,0.00215271,-0.00285977,-0.00047254,Response-2
AR2366,4.556494,5.099709,2.419096,4.6698629999999985,5.024026,2.343937,4.677213,4.6936870000000015,2.613214,4.683428,4.968672,2.624623,4.5586910000000005,5.062937000000002,2.4635290000000003,4.691884,5.0070760000000005,2.381846,0.00191568,-0.01585503,-0.03677098,0.00320352,-0.00251902,-0.00457264,-0.00061678,-0.01254275,-0.0245648,-0.00152173,0.0005117,-0.01086686,0.00018255,-0.00157751,-0.00252101,-0.00046713,7.982e-05,0.00025114,-0.00068339,-0.00014171,-0.00033421,-0.00110583,0.00037095,-0.00079198,Response-2
AR5893,5.265414,3.0573490000000003,1.468588,4.556957,3.5964440000000004,1.530195,5.581937,1.2510139999999998,1.763594,5.482471,4.117247,1.733931,5.096671,3.221182,1.5096379999999998,4.968831,3.619484,1.548296,-0.00425038,0.01382251,-0.00225462,0.00455267,-0.00057371,8.206e-05,-0.00372435,0.01099625,-0.00184856,0.00467071,-0.00034597,9.001e-05,2.7000000000000004e-06,-0.00113467,-0.00021494,-0.00286765,0.00197905,0.00089147,0.00026521,-0.00086458,-0.00020952,0.00038277,-0.0011094000000000002,0.00025388,Response-3
AR4822,1.853124,4.676322,1.968942,3.509686,4.1099260000000015,1.983233,2.848704,1.303667,2.227088,2.637406,4.059809,2.245241,1.766961,4.447532,2.013612,3.521719,4.0882010000000015,2.025799,-0.00173365,0.00204967,0.00028693,0.00087028,-0.00172993,-0.00011923,-0.00212847,0.00341116,0.00043783,0.00060603,-0.00075821,-0.00018562,-5.105e-05,0.00015428,1.9399999999999997e-05,-4.94e-05,6.521e-05,4.46e-06,0.00018806,-0.00014884,-3.45e-05,-9.043e-05,0.00022306,-3.896e-05,Response-4
AR5725,3.660271,5.251965,1.7938459999999998,5.698182,1.7372740000000002,1.751455,4.181806,1.805099,1.966767,4.436744999999998,4.0591599999999985,1.945044,3.632931,4.9820160000000016,1.830689,5.772426,1.763456,1.741768,-0.00027719999999999996,0.0007559,-2.452e-05,0.00018975,-0.01854992,-0.00110432,-0.00028489,0.00067492,-1.379e-05,-0.00297823,-0.00723043,0.0003165,-2.741e-05,0.00015298,-8.56e-06,0.00020412,-0.00505085,-0.00047024,-2.896e-05,0.00013546,-6.31e-06,-0.00010485,-0.00027625,4.05e-06,Response-5
AR2156,4.663677,5.0866940000000005,2.248109,4.6637879999999985,5.086501,2.247355,4.661151,4.695288,2.542494,4.690589,4.9624169999999985,2.575135,4.639971,5.061757,2.315217,4.685306,5.04935,2.282833,-0.00202896,0.00218159,0.00138769,0.0026678,-0.00474546,0.01148404,-0.00059446,0.00097829,0.00144728,0.00169115,-0.00294927,0.01720467,-0.00010646,0.00034667,0.00044054,0.00083432,-0.00123552,0.0031557,2.469e-05,0.00021204,0.00040552,0.00125623,-0.00127307,0.00543769,Response-4
AR1053,4.545026,4.785378,1.531908,5.373086,4.64832,1.473322,5.0910720000000005,1.574975,1.765124,5.094666,4.157383,1.737828,4.347878,4.663825,1.575615,5.491946,4.777572,1.526451,0.00444542,-0.00047977,-0.00045676,0.00141939,0.00320174,0.0006983,0.00074513,0.00035757,-0.0002076,0.00409098,0.00033002,0.00052932,-6.105e-05,-1.466e-05,7.18e-06,-0.00063106,-0.00068659,-0.00014187,1.259e-05,-2.242e-05,-4.08e-06,-0.00061543,0.00034458,-9.882e-05,Response-1
AR3907,5.010177,4.7408470000000005,1.466086,5.983302,2.663567,1.502218,4.8707400000000005,1.6762830000000002,1.767206,4.995748000000002,4.273787,1.7433310000000002,4.715997,4.595572,1.530484,5.964493,2.601106,1.476504,0.0002028,-0.00213254,0.00022549,0.00507184,-0.01232775,0.00079934,0.00022673,-0.00178955,0.00017054,0.00834647,-0.00217588,0.00073735,-5.296e-05,0.00010888,-2.17e-06,-0.00587248,-0.00416233,1.482e-05,-4.852e-05,9.821e-05,-3.5e-07,-0.00179076,0.00162651,0.00010605,Response-2
AR5077,4.657907,4.54188,1.774962,5.749403,4.605164,1.802073,4.878438,1.888216,2.153009,4.838809,4.316106,2.143621,4.196589,4.433817,1.879241,5.794249,4.447363,1.880181,0.00687344,-0.00988669,-0.00143978,0.01341328,-0.0171767,-0.00035843,0.00902362,-0.00663762,-0.00242979,0.01535273,-0.00265486,-0.00039571,-0.00072217,-0.00111224,3.233e-05,0.00216588,-0.00146988,-2.282e-05,0.00097759,-4.131e-05,-0.00033918,0.00153906,-0.00096073,-0.00072533,Response-5
AR1159,1.133704,4.429379,2.040637,5.015625,3.456858,2.094011,3.125783,1.307506,2.214062,2.9070400000000003,4.0667620000000015,2.232679,1.301302,4.339931,2.082435,4.742617,3.708524,2.138544,0.00169143,0.00790594,5.633e-05,0.00249103,0.00113148,0.00082774,0.00193977,0.00671312,-4.594e-05,0.0010335000000000001,0.00125899,0.00058211,-0.00016265,4.205e-05,-2.958e-05,0.00021766,-0.00021187,3.776e-05,-0.00010124,0.00015107,-4.989e-05,6.853e-05,-0.00010153,3.237e-05,Response-2
AR5904,3.132965,2.692616,2.174294,2.1820310000000003,2.653049,2.062414,2.444778,0.8523344999999999,2.391283,2.484687,3.416564,2.405452,2.91856,2.929039,2.198107,2.6616720000000003,2.774012,2.114059,-0.00093512,-0.00266484,-0.0001298,0.00077398,-0.00509773,-0.00026005,-0.00066239,-0.00385407,4.402e-05,-0.00734176,-0.0074129999999999995,-0.00072338,0.00035416,3.984e-05,8.615e-05,-0.00106578,0.00189554,0.00019068,0.00068933,1.478e-05,0.00016148,-0.00111635,-0.00046504,-7.887e-05,Response-5
AR0702,4.061749,5.347277,1.801141,5.645269,5.249315,1.6883130000000002,4.541929,1.86545,1.953207,4.540526,4.1808760000000005,1.973928,3.872006,5.203275,1.835245,5.56951,4.95755,1.739777,-0.00787153,-0.00955438,0.0014475,-0.00685657,-0.00157388,0.00060441,-0.00784459,-0.00953393,0.00144262,-0.00251504,-0.00088932,0.00081094,-0.00220668,-0.00298547,0.00038351,-1.364e-05,-0.00041751,-0.00013128,-0.00220055,-0.00298082,0.00038239,8.328e-05,-0.00049192,-0.00013022,Response-2
AR2006,4.514314,5.044381,2.277388,4.887571,4.86652,2.448824,4.692953,4.6916970000000005,2.627558,4.693405,4.965418,2.621628,4.5330949999999985,5.022313,2.340081,4.883394,4.877367,2.45701,-0.00180936,0.01106834,0.01364111,0.00695263,0.01591456,-0.00449064,-0.00239115,0.00747012,0.01072505,0.0034359,0.01456337,0.00042449,-0.00017559,0.0003415,-0.00059426,0.0002847,-0.00074996,-0.00102747,-0.00020302,0.00016256,0.00053493,0.00052951,-0.00125168,-0.00134838,Response-2
AR2446,4.787557,4.43547,1.4966469999999998,5.046903,4.501833,1.51453,5.080793,1.599711,1.7570279999999998,5.05243,4.140205,1.746622,4.8990870000000015,4.321333,1.529256,5.467321,4.498789,1.5332629999999998,0.00120897,-0.00943307,-0.00048032,0.00817695,-0.01214395,-0.00125551,0.00266018,-0.005878899999999999,-0.00022231,0.00354277,-0.00565025,-0.00034054,-0.00411049,0.00073344,-1.605e-05,0.00406375,-0.0013505000000000001,-0.00011689,-0.00091303,0.00050834,-0.00022752,0.0020459,-1.193e-05,0.00019783,Response-5
AR0855,1.137705,5.195469,2.4610830000000004,4.537558,4.7082190000000015,2.0137400000000003,2.804924,1.568977,2.197756,2.510105,3.824041,2.4189700000000003,1.196201,4.802802,2.4513830000000003,4.344947,4.254951,2.104944,-0.00485769,0.00229004,0.00033451,0.01073859,0.00798965,-0.00170473,-0.00450197,0.00119981,0.00023022,0.00913032,0.00931289,-0.00239533,9.516e-05,-0.00024818,1.47e-06,0.00049629,0.00073903,0.00010796,8.425e-05,-0.00022911,1.83e-06,0.00058145,0.0015752000000000001,-0.00020647,Response-2
AR5366,3.022986,4.8331940000000015,1.859946,3.754411,4.268626,1.725348,4.953761,1.910598,2.132946,4.893767,4.312253,2.138712,3.208263,4.64438,1.907423,3.90287,4.249435,1.7584540000000002,-4.614e-05,-0.00097736,-0.00019981,0.00020639,-0.00096812,-7.575e-05,0.00020590000000000002,-0.00134713,-9.251e-05,0.00976141,-0.00536508,0.00172484,0.00013440000000000001,0.00069408,3.108e-05,-7.687e-05,5.116e-05,9.27e-06,0.00013979,0.00023806,4.659e-05,-2.594e-05,-2.817e-05,1.24e-06,Response-4
AR0440,5.117439,5.0493,1.543578,6.094185,1.612368,1.602073,5.41021,1.575074,1.716376,5.402196,4.192981,1.72648,4.779092,4.845559,1.553621,6.252129,1.985626,1.580111,-9.739e-05,-0.00046157,-6.897e-05,0.00528218,0.01277981,-0.00149207,-0.00029778,-7.892e-05,-4.829e-05,0.00028889,0.009775,-0.00114445,0.00014834,0.0005582000000000001,1.852e-05,0.00231014,0.00634395,-0.00078697,2.766e-05,0.00074762,3.56e-06,0.00022526,0.00539255,-0.00072779,Response-3
AR1180,4.501738,5.098966000000001,2.392587,4.694578,5.067139,2.226182,4.632624,4.699552,2.5954740000000003,4.652189,4.97455,2.605057,4.508178,5.071222,2.43256,4.706859,5.029822,2.281247,-0.00074175,-0.01204905,-0.02483917,-0.01524015,-0.00199119,-0.02184776,-0.00182749,-0.00766262,-0.02089614,-0.01097754,-0.00298487,-0.01450916,0.00133958,-0.0017992999999999998,0.00426725,0.00020171,0.00180301,0.00419265,0.00022269,-4.982e-05,0.00114796,-0.00023614,0.0015856,0.00146903,Response-2
AR3019,4.567225,5.005406,2.314559,4.748787,4.983335,2.2357560000000003,4.689088,4.692944000000002,2.629687,4.683406,4.964054,2.642168,4.568141000000002,4.99359,2.347705,4.757105,4.978473,2.28477,-0.00710005,-0.00065976,-0.00487627,0.01758102,-0.01556008,0.00088496,-0.00386611,0.00021104,0.00199965,0.01412367,-0.00888151,0.015322200000000001,0.00012611,0.00032791,-5.585e-05,-0.00060231,0.00133119,-0.00329261,0.00025811,5.2000000000000004e-05,-0.00015275,0.0012717,4.034e-05,0.00368799,Response-3
AR2708,3.370788,4.244261,1.512664,6.529458,4.283442,1.48416,5.011173,1.818207,1.690496,5.083968,4.261977,1.741667,3.682846,4.267158,1.527659,6.5166,4.1964120000000005,1.534171,0.00531704,0.01344246,0.00065996,-0.00261284,0.01006368,-0.00144303,-0.00407015,0.01396524,2.589e-05,-0.00337708,0.01158559,-0.00228403,0.00293977,0.00530406,0.00025199,-0.00044911,0.00227555,0.00077064,0.00013448,0.00496652,0.00058896,-0.00026249,0.00376734,0.00012938,Response-3
AR4486,4.518443,5.093479,2.417192,4.8501699999999985,5.06637,2.374171,4.705593,4.6893970000000005,2.626413,4.697355,4.9584769999999985,2.6156650000000004,4.5456650000000005,5.06447,2.435679,4.827585,5.0350470000000005,2.427871,0.00252111,0.00331391,0.00770798,-0.00043514,0.01135482,0.01308587,0.00230319,0.00268421,0.00377156,0.0015080999999999998,0.01203794,0.00126532,3.281e-05,-0.00040583,-2.507e-05,0.00025971,0.00034537,-0.00041177,-0.00010933,0.00054078,-0.00039687,0.00025725,0.00034191,-0.0010334,Response-2
AR4366,5.583499,4.066483,1.488898,5.465732,4.050653,1.496128,5.403658999999998,1.517251,1.752717,5.5320839999999984,4.1434940000000005,1.743772,5.349056,4.038983999999999,1.528486,5.610964,4.089512,1.549818,0.00081696,-0.00067348,-0.00010120000000000001,-0.00493473,-0.00309799,0.00239419,0.00065519,-0.00068606,-6.979e-05,0.00124494,-0.00037785,-0.00071618,0.00012177,-4.976e-05,-7.55e-06,-0.00170121,-0.00082371,0.0007705,0.00017022,-8.893e-05,3.8e-06,-0.00080616,2.587e-05,5.594e-05,Response-1
AR5721,2.207246,3.502064,1.965031,4.461885,3.626922,1.975152,2.543372,1.305733,2.222525,2.469647,4.0838730000000005,2.2448900000000003,2.063653,3.534476,1.98164,4.241034,3.622974,2.065871,-0.00654964,-0.00234075,-0.00014168,0.00084244,-0.00834208,0.0011703,-0.00585467,-0.00242879,-0.00026033,-0.00028043,-0.00767228,0.00102711,0.00024782,0.00018194,-2.288e-05,0.00039434,0.00132665,-0.00023574,-0.00028856,6.788e-05,-1.345e-05,0.00022103,0.0006478,-9.227e-05,Response-4
AR3099,2.534598,3.777455,2.178214,2.948177,3.648534,2.144254,2.429528,0.8430532,2.396046,2.458079,3.4284440000000003,2.420441,2.39292,3.683315,2.209026,3.138876,3.492464,2.272782,0.00256661,-0.00648098,-0.00012567,-0.01534151,0.00921201,0.005009899999999999,0.00095042,-0.00369007,-0.00025529,-0.01372219,0.01168463,0.00564092,0.00108553,-0.00107827,-9.572e-05,-0.00202411,0.00111564,0.00017885,0.0001537,-0.00036789,-3.889e-05,-0.0013237,0.00075813,0.00023239,Response-2
AR5218,5.483653,3.680972,1.50053,5.065929,3.657047,1.5085,5.335598,1.509151,1.7650169999999998,5.456684,4.04969,1.757138,5.219009,3.692695,1.525809,5.463309,3.674822,1.5236299999999998,0.00465222,-0.00630105,0.00116636,0.00499265,0.00416604,0.00054202,0.00460117,-0.00629881,0.00117123,0.00043479,-0.00046177,0.00030287,0.00182115,-0.00199696,0.0007069,0.0012629000000000002,0.0009198,0.00019181,0.0018196999999999998,-0.0019969000000000002,0.00070705,1.074e-05,-1.496e-05,7.277e-05,Response-3
AR3767,4.967764,4.420374,1.465859,4.808635,4.40272,1.468873,5.124821,1.60764,1.7678900000000002,5.1449620000000005,4.260839,1.7404110000000002,4.7728660000000005,4.415254,1.49391,5.286071,4.534754,1.536111,-0.01505134,0.00316665,0.00161106,0.00172929,0.00730505,0.00031724,-0.00778615,0.00413084,0.00070515,-0.00625664,-0.00282042,-0.00161645,-0.00083219,-0.00102374,0.00011200000000000001,-0.00718836,0.00750941,0.00036385,-0.00038018,-0.00062398,6.569e-05,-0.00345014,-0.00059422,-0.00039828,Response-1
AR5746,2.176534,4.008612,2.193845,3.2827660000000005,3.679358,2.27111,2.332107,0.8790654,2.395598,2.427777,3.386124,2.431032,1.99194,3.854895,2.224499,3.399373,3.595858,2.332268,0.00576177,-0.00375859,0.00045703,0.01052182,0.0081709,0.0030018,0.00341648,-0.00078132,0.00039405,0.00421872,0.0058488,0.00182416,0.00016126,-0.00037173,6.703e-05,0.00374728,0.002857,0.00089907,-3.11e-06,-0.00018759,5.5700000000000005e-05,0.00205872,0.00219254,0.00064306,Response-2
AR2456,4.626401,4.913132,2.258689,4.771204,4.9396010000000015,2.345376,4.691448,4.693946,2.618729,4.6923059999999985,4.964989,2.611925,4.614744,4.91938,2.280392,4.7735910000000015,4.93636,2.340893,-0.00219904,-0.0032668,0.00362243,-0.00173087,-0.00103826,-0.00362243,-0.00160619,-0.0017433,-0.00147197,-0.00050485,-0.0011937999999999999,-0.00273547,-4.071e-05,0.0014104,-0.00207265,-0.00031319,5.149e-05,-0.00040298,0.0005216,0.00105439,-0.00046311,-0.00021408,0.00012259,0.00034396,Response-4
AR0959,4.56251,5.138543,2.458109,4.688678,5.069987,2.337366,4.639198,4.701171,2.561178,4.673009,4.975264,2.60469,4.569028,5.093103,2.481796,4.717679,5.036626,2.37102,0.00610317,-0.00609314,-0.03173733,-0.0231363,0.00114502,-0.00178806,0.00119849,-0.00455362,-0.02201822,-0.02511949,0.00474458,-0.0048182,0.00056987,0.00017332,-0.00170819,-0.00064806,-0.00212296,0.00185913,3.612e-05,0.0002445,-4.059e-05,-0.00063902,-0.00158207,0.0031326,Response-2
AR0478,4.0889760000000015,5.31105,1.780623,5.093178,5.391187,1.812163,4.473649,1.818934,1.952098,4.511851999999998,4.158835,1.952331,3.8424,5.054968,1.813986,5.225345,5.06385,1.846564,-0.00105977,0.00099423,0.00018662,0.00094091,-0.00046388,0.00016603,-0.00089381,0.0006262,0.00014749,0.00096055,-0.00051268,0.0001712,0.0002117,0.0003546,-3.209e-05,0.00022293,0.00013897,9e-08,0.00025304,0.00025009,-5.142e-05,0.00022389,0.00013657,3.7e-07,Response-1
AR0547,4.7084800000000016,4.908206,2.362619,4.78198,5.049628,2.086468,4.668561,4.697061,2.584803,4.688542,4.9687790000000005,2.609877,4.684383,4.921778,2.408002,4.7731059999999985,4.999382,2.188797,0.00277594,0.00113397,-0.0058787,-0.00359028,-0.01669366,-0.00789409,0.00274588,0.00115084,-0.00582162,-0.00038715,-0.00558716,-0.01372252,-0.00034128,-9.275e-05,3.421e-05,-0.00064551,-0.00160637,0.00012166,-0.00033549,-9.595e-05,2.359e-05,0.00015718,-0.00134565,0.00291658,Response-3
AR2881,2.252272,3.374935,1.936662,3.691399,3.914023,2.016832,2.841528,1.279272,2.256254,2.628939,4.064761,2.253831,2.22039,3.390785,1.954831,3.689676,3.994507,2.059174,0.00022923,-0.00039432,-0.00018313,-0.00761773,0.00876515,-0.000679,0.00043099,-7.535e-05,-0.00024785,-0.00637308,0.00642075,-0.00028078,9.932e-05,-2.334e-05,-1.1e-05,0.00125995,-0.00327566,0.00012297,5.344e-05,-4.994e-05,1.246e-05,0.00053331,-0.00188131,-6.042e-05,Response-4
AR2733,5.547911,4.052968,1.48829,6.461864,4.18256,1.449992,5.493854,1.479544,1.760412,5.565192,4.112522,1.745152,5.274132,4.012242,1.538477,6.2333370000000015,4.196075,1.485762,0.00045132,-4.642e-05,7.11e-05,-0.00054182,0.00110266,0.00016596,0.00030542,0.00035678,-2.3899999999999998e-05,-0.00052778,0.00110181,0.00016378,-2.94e-05,9.338e-05,1.454e-05,-0.00029542,0.00011036,1.603e-05,-5.239e-05,0.00015601,8.367e-05,-0.00028918,0.00010999,1.508e-05,Response-1
AR3711,4.134995,4.4518580000000005,1.683845,5.27705,5.111586,1.838186,4.4760480000000005,1.780529,1.965455,4.517767,4.147332,1.957685,3.916604,4.32089,1.73121,5.426181,4.868711,1.893414,-0.0032397,0.01359086,0.00244138,-0.00300947,0.00478008,-0.00015409,-0.0045126,0.01362849,0.00282372,-0.00212884,0.0037884999999999998,-0.00045841,0.00036751,0.0004887,-0.00010858,-0.00057032,0.00152185,-0.00024859999999999997,-0.00135435,0.0028949,0.00054719,-0.00033816,0.00140028,-0.0002836,Response-2
AR4581,2.347224,4.300667,2.245329,4.269662,3.923217,1.997119,2.524882,1.093625,2.256105,2.4979,3.490532,2.374258,2.113371,4.157007,2.2679150000000003,4.129676,3.751966,2.1007740000000004,-0.00027882,0.00121471,-0.00034079,0.00802329,0.01443156,-0.00093833,-0.00058055,0.0013032,-0.00021005,0.0031028,0.00353581,-0.00066845,-1.075e-05,7.118e-05,-5.14e-06,0.00044121,0.00121146,4.845e-05,-3.43e-06,8.594e-05,-4.2999999999999995e-06,-0.00028681,-0.000699,0.00018492,Response-2
AR3037,1.347234,5.491292,2.084544,3.5043910000000005,3.826188,1.991712,2.885592,1.307021,2.229714,2.6316080000000004,4.059533,2.244298,1.340939,5.121747,2.110935,3.5534,3.850154,2.036992,-0.00034292,0.00351953,0.00014337,-0.00260354,0.00120431,4.289e-05,0.00077155,0.00177826,-8.358e-05,-0.00151245,0.00105857,0.00034502,-0.00022412,0.00058336,4.383e-05,-0.00028560000000000006,-0.0003654,-2.118e-05,-0.00015932,0.00012598,2.129e-05,-0.00014296,-0.0004529,-4.64e-06,Response-2
AR3708,5.328899,4.042779,1.504896,5.663838,4.531862,1.421649,5.0374349999999986,1.635421,1.760168,5.053051,4.284422,1.735931,4.9593690000000015,4.057144,1.559109,5.753287,4.44767,1.474335,-0.00430335,0.01135347,-0.00105916,-0.00440315,-0.02112916,0.00024430000000000003,-0.0029383000000000005,0.00865745,-0.00075872,-0.03457051,-0.00941555,0.00246265,0.00022696,-0.00115775,9.46e-06,0.00048269999999999997,-0.00053089,-0.00032644,0.0001908,-0.00087225,1.019e-05,0.0007247999999999999,-0.0013875,-0.00050281,Response-2
